"created_at","screen_name","text","source","retweet_count","favorite_count"
2019-07-24 11:43:10,"realDonaldTrump","So why didn’t the highly conflicted Robert Mueller investigate how and why Crooked Hillary Clinton deleted and acid washed 33,000 Emails immediately AFTER getting a SUBPOENA from the United States Congress? She must have GREAT lawyers!","Twitter for iPhone",25528,105673
2019-07-24 11:36:27,"realDonaldTrump","Why didn’t Robert Mueller &amp; his band of 18 Angry Democrats spend any time investigating Crooked Hillary Clinton, Lyin’ &amp; Leakin’ James Comey, Lisa Page and her Psycho lover, Peter S, Andy McCabe, the beautiful Ohr family, Fusion GPS, and many more,  including HIMSELF &amp; Andrew W?","Twitter for iPhone",21038,81511
2019-07-24 11:03:41,"realDonaldTrump","It was NEVER agreed that Robert Mueller could use one of his many Democrat Never Trumper lawyers to sit next to him and help him with his answers. This was specifically NOT agreed to, and I would NEVER have agreed to it. The Greatest Witch Hunt in U.S. history, by far!","Twitter for iPhone",20581,91978
2019-07-24 10:50:55,"realDonaldTrump","So Democrats and others can illegally fabricate a crime, try pinning it on a very innocent President, and when he fights back against this illegal and treasonous attack on our Country, they call It Obstruction? Wrong! Why didn’t Robert Mueller investigate the investigators?","Twitter for iPhone",25073,100278
2019-07-24 02:29:14,"realDonaldTrump","So Robert Mueller has now asked for his long time Never Trumper lawyer to sit beside him and help with answers. What’s this all about? His lawyer represented the “basement server guy” who got off free in the Crooked Hillary case. This should NOT be allowed. Rigged Witch Hunt!","Twitter for iPhone",25295,101681
2019-07-24 00:18:42,"realDonaldTrump","The young leaders here today (@TPUSA) are part of a movement unlike anything in the history of our nation. It is a movement about reclaiming YOUR future, rebuilding YOUR Country, restoring YOUR destiny, and renewing the values that are the true source of American GREATNESS! https://t.co/unURpLS8Lc","Twitter for iPhone",19119,71955
2019-07-23 23:52:15,"realDonaldTrump","Congratulations to our new Secretary of Defense, Mark @EsperDoD! https://t.co/aT3D1ZX5KK","Twitter for iPhone",9843,46206
2019-07-23 23:46:15,"realDonaldTrump","Oh well, we still have the great @seanhannity who I hear has a really strong show tonight. 9:00 P.M.","Twitter for iPhone",10857,57803
2019-07-23 23:43:17,"realDonaldTrump","THANK YOU @TPUSA! #MAGA https://t.co/1eqR2Im8dQ","Twitter Media Studio",18226,63170
2019-07-23 23:43:09,"realDonaldTrump","Just watched Rep. Eric Swalwell be asked endless softball questions by @marthamaccallum on @FoxNews about the phony Witch Hunt. He was just forced out of the Democrat Presidential Primary because he polled at ZERO. Fox sure ain’t what it used to be. Too bad!","Twitter for iPhone",13699,56200
